10:39:33 [INFO] Loading grid spec from data/param-grid-spec.json
10:39:33 [INFO] Grid spec loaded:
10:39:33 [INFO]   Candidates: 9
10:39:33 [INFO]   Cost mode entries: 18
10:39:33 [INFO]   Parameter combinations: 15625
10:39:33 [INFO]   Leverage levels: 1
10:39:33 [INFO]   Total runs: 281250
10:39:33 [INFO]   Parallelism: 8
10:39:35 [INFO] Grid: 281250 combinations
10:39:35 [INFO] Parallelism: 8 processes
10:39:35 [INFO] Output: data/param-search-results
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.53: 124 trades, 0.1s
10:39:40 [INFO] Progress: 56/281250 done (56 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.56: 111 trades, 0.1s
10:39:40 [INFO] Progress: 57/281250 done (57 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.57: 111 trades, 0.1s
10:39:40 [INFO] Progress: 58/281250 done (58 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.58: 111 trades, 0.1s
10:39:40 [INFO] Progress: 59/281250 done (59 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.59: 111 trades, 0.1s
10:39:40 [INFO] Progress: 60/281250 done (60 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.60: 108 trades, 0.1s
10:39:40 [INFO] Progress: 61/281250 done (61 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.63: 108 trades, 0.1s
10:39:40 [INFO] Progress: 62/281250 done (62 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.62: 108 trades, 0.1s
10:39:40 [INFO] Progress: 63/281250 done (63 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.64: 108 trades, 0.1s
10:39:40 [INFO] Progress: 64/281250 done (64 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.61: 108 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.65: 108 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.66: 108 trades, 0.1s
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.67: 108 trades, 0.1s
10:39:40 [INFO] Progress: 65/281250 done (65 ok, 0 failed)
10:39:40 [INFO] Progress: 66/281250 done (66 ok, 0 failed)
10:39:40 [INFO] Progress: 67/281250 done (67 ok, 0 failed)
10:39:40 [INFO] Progress: 68/281250 done (68 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.68: 108 trades, 0.1s
10:39:40 [INFO] Progress: 69/281250 done (69 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.69: 108 trades, 0.1s
10:39:40 [INFO] Progress: 70/281250 done (70 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.70: 108 trades, 0.1s
10:39:40 [INFO] Progress: 71/281250 done (71 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.72: 108 trades, 0.1s
10:39:40 [INFO] Progress: 72/281250 done (72 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.71: 108 trades, 0.1s
10:39:40 [INFO] Progress: 73/281250 done (73 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.73: 108 trades, 0.1s
10:39:40 [INFO] Progress: 74/281250 done (74 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.74: 108 trades, 0.1s
10:39:40 [INFO] Progress: 75/281250 done (75 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.75: 124 trades, 0.1s
10:39:40 [INFO] Progress: 76/281250 done (76 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.77: 124 trades, 0.1s
10:39:41 [INFO] Progress: 77/281250 done (77 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.76: 124 trades, 0.1s
10:39:41 [INFO] Progress: 78/281250 done (78 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.79: 124 trades, 0.1s
10:39:41 [INFO] Progress: 79/281250 done (79 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.78: 124 trades, 0.1s
10:39:41 [INFO] Progress: 80/281250 done (80 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.80: 110 trades, 0.1s
10:39:41 [INFO] Progress: 81/281250 done (81 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.81: 110 trades, 0.1s
10:39:41 [INFO] Progress: 82/281250 done (82 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.82: 110 trades, 0.1s
10:39:41 [INFO] Progress: 83/281250 done (83 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.83: 110 trades, 0.1s
10:39:41 [INFO] Progress: 84/281250 done (84 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.85: 108 trades, 0.1s
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.84: 110 trades, 0.1s
10:39:41 [INFO] Progress: 85/281250 done (85 ok, 0 failed)
10:39:41 [INFO] Progress: 86/281250 done (86 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.86: 108 trades, 0.1s
10:39:41 [INFO] Progress: 87/281250 done (87 ok, 0 failed)
10:39:41 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.87: 108 trades, 0.1s
10:39:41 [INFO] Progress: 88/281250 done (88 ok, 0 failed)
