15:49:37 [INFO] Loading grid spec from data/param-grid-spec-cluster-003.json
15:49:37 [INFO] Grid spec loaded:
15:49:37 [INFO]   Candidates: 1
15:49:37 [INFO]   Cost mode entries: 2
15:49:37 [INFO]   Parameter combinations: 15625
15:49:37 [INFO]   Leverage levels: 1
15:49:37 [INFO]   Total runs: 31250
15:49:37 [INFO]   Parallelism: 8
15:49:37 [INFO] Grid: 31250 combinations
15:49:37 [INFO] Parallelism: 8 processes
15:49:37 [INFO] Output: data/param-search-v2
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.118: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.117: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.119: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.120: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.121: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.122: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.123: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..127: 49 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.124: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..126: 49 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..125: 49 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..128: 49 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..129: 49 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..130: 43 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..132: 43 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..131: 43 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..134: 43 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..133: 43 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..136: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..135: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..137: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..138: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.1_stop_loss_pct-0..140: 41 trades, 0.1s
